dead_line,name,primary_supervisor,project_description,project_link,supervisor_email
18 July 2022,Developing volunteer leaders,Dr Toby Newstead,"Scholarship in the field of leadership, while increasingly popular and prominent, is focused almost exclusively on paid leaders who hold substantive, managerial roles and lead teams of paid employees. But, in Tasmania, the largest sector by involvement is volunteering, meaning that far more people lead and are led in a voluntary (unpaid) capacity than in a paid capacity. Throughout Tasmania and around the world, volunteers deliver essential services such as community care, emergency response, animal welfare, sport and recreation, and environmental stewardship. And yet, almost no resources are invested to understand how to develop leadership in this vital sector.",https://www.utas.edu.au/research/degrees/available-projects/projects/management/developing-volunteer-leaders,https://www.utas.edu.au/profiles/staff/business-and-economics/toby-newstead
18 July 2022,Assessing the efficacy of nudging techniques for prompting business start-ups,Dr Roshni Narendran,"During COVID-19, businesses have modified their operations to capitalise on online market opportunities, impacting labour market conditions. While this has made it more difficult to find traditional work, this online revolution has also created the opportunity for people to set up a business cost-effectively, i.e., without the need for investing in expensive bricks and mortar. However, incentives are required to encourage under and unemployed workers from traditional labour markets to start sustainable business ventures. One potential tool is to use behavioural science ‘nudging’ techniques, commonly applied to encourage people to make healthier or more sustainable choices, to prompt people to start their own business.",https://www.utas.edu.au/research/degrees/available-projects/projects/management/assessing-the-efficacy-of-nudging-techniques-for-prompting-business-start-ups,https://www.utas.edu.au/profiles/staff/management/roshni-narendran
18 July 2022,Returning Raw Genomic Research Results Issues for Clinicians and Researchers,Prof Margaret Otlowski,"Increasingly, individuals, particularly cancer patients, are undergoing genomic sequencing. Genome sequencing data is presenting new opportunities for diagnosis, treatment and research. A significant amount of genomic data is generated in a research context, and the divide between the clinical and research settings is becoming increasingly blurred. There has been recent debate around obligations to return raw genomic data to patients and research participants, both legal and ethical. The legal position around the return of raw genomic data is not clear, and ethical obligations add a layer of complexity. Although there are good reasons to return genomic data, there may also be associated risks and liabilities. These risks and liabilities must be balanced against the benefits of prioritising patient autonomy and data sharing.",https://www.utas.edu.au/research/degrees/available-projects/projects/law/returning-raw-genomic-research-results-issues-for-clinicians-and-researchers,https://www.utas.edu.au/profiles/staff/law/margaret-otlowski/
18 July 2022,Regulating Australian Clinical Trials,Dr Lisa Eckstein,"Clinical trials are vital for improving the prevention, diagnosis, and treatment of disease. However, they raise ethical, legal, and policy issues that require dedicated attention.",https://www.utas.edu.au/research/degrees/available-projects/projects/law/regulating-australian-clinical-trials,https://www.utas.edu.au/profiles/staff/law/lisa-eckstein
18 July 2022,Using education analytics to optimise STEM degree admission and applicant success prediction,Prof Anna Shillabeer,"Higher education is facing a difficult future. The current pandemic has significantly impacted upon international enrolments, budgets are being cut and the impact of rapid online teaching responses have all taken their toll.  Academics are increasingly having to adapt and teach students from a broader range of sources that are too frequently ill prepared for University study. The entry requirements for some disciplines have also reduced over the past two decades leading to more ‘remedial’ teaching and support systems to facilitate student success. These entry requirements are perceived as being more informed by budget and enrolment targets (and considering attrition) than ensuring quality of outcomes, but there is minimal literature to suggest an alternative, tested model for selecting based on success potential. This project will develop a model for selecting applicants based on their likelihood of success in their field of study. The outcomes will potentially revolutionise the higher education selection process and ensure that new students are in a study path that will result in a good outcome.",https://www.utas.edu.au/research/degrees/available-projects/projects/information-and-communication-technology/using-education-analytics-to-optimise-stem-degree-admission-and-applicant-success-prediction,https://www.utas.edu.au/profiles/staff/ict/anna-shillabeer
18 July 2022,Trust Aware Crowd  Service Management,Dr Saurabh Garg,"Currently we are moving to internet of everything (IoE) from internet of things (IoT )where every device can be  a sensing and computing device. In such environment, new type of services can be supported which will make smart city and smart region a reality. For example, in context of cities, by using crowd based services, we can find in fast manner the parking spots and we can identify pathway for ambulance in high traffic times. Crowd can give very timely and reliable source for information and computation to support such applications if integrated with effective trust and resource management approaches and tools. There are several research challenges that needs to be solved such as integration of multiple data sources, volatile and unpredictable availability of crowd based resources and untrustful crowd peers and network that need to be solved in order to support crowd based services. This PhD project will investigate solutions to tackle these challenges.",https://www.utas.edu.au/research/degrees/available-projects/projects/information-and-communication-technology/trust-aware-crowd-service-management,https://www.utas.edu.au/profiles/staff/ict/saurabh-garg
18 July 2022,Self Diagnostic Systems for IIoT,Dr Ananda Maiti,"The Industrial Internet of Things (IIoT) gathers a large amount of data for a specific target environment. The data can describe the environment's state and is used for future decisions regarding the system. Blockchain gives the assurance that the data used or generated by the IoT devices is valid and reliable. When combined with blockchain, IoT devices enable the complete automation of different tasks that do not require constant human interactions or monitoring. Typical examples of IoT and Blockchain in the industries include automatic payments and supply chain management.",https://www.utas.edu.au/research/degrees/available-projects/projects/information-and-communication-technology/self-diagnostic-systems-for-iiot,https://www.utas.edu.au/profiles/staff/ict/ananda-maiti
18 July 2022,Predicting mental health status,Professor Anna Shillabeer,"There is a significant body of work focusing on mental health in the workplace. This work has predominantly focused on students (at all levels), school teachers, emergency service professionals, health professionals and other high stress and personal service occupations. There is however very little literature addressing the growing impact of mental health issues in higher education academics and administrators. Given the nature of the work done by academics and administrators, the loss of a person due to mental health issues has the potential to impact hundreds of students and entire schools or departments. This project will take an informatics approach to collect data, and develop predictive models to identify those who are most at risk and identify the timelines and triggers to provide a mechanism for proactive mental health initiatives to be provided and ensure that an employee does not reach burn out or require prolonged medical intervention. This project has a focus on keeping the higher education sector healthy and productive.",https://www.utas.edu.au/research/degrees/available-projects/projects/information-and-communication-technology/predicting-mental-health-status,https://www.utas.edu.au/profiles/staff/ict/anna-shillabeer
18 July 2022,Optimising Active Learning for Efficient Data Annotation,Dr Robert Ollington,"While there have been great AI advances in image understanding, the most successful approaches require a very large training dataset of annotated images. Obtaining suitable images is often not very difficult, but the bottleneck is in obtaining ground truth annotations, which typically requires human experts.  This has been a major inhibiting factor in the application of these techniques in real-world application.",https://www.utas.edu.au/research/degrees/available-projects/projects/information-and-communication-technology/optimising-active-learning-for-efficient-data-annotation,https://www.utas.edu.au/profiles/staff/ict/robert-ollington
18 July 2022,Interpretable Artificial Intelligence,Dr Son Tran,"Artificial Intelligence (AI) has been emerging as an important technology with significant influence on many aspects of life. In the era of digital media, modern AI approaches, known as ""deep learning"" methods, can effectively utilise the large availability of data and the computational powers for highly accurate prediction. This advancement has made breakthroughs in a number of application domains, for example, object detection and classification in autonomous driving systems, and automated diagnosis from medical images. However, deep learning methods also receive some concern from the business and society due to the lack of explanation and interpretation capability for the prediction outcomes.  Without the interpretability, humans will not be able to understand the behaviour of AI to establish trust and to acquire useful knowledge, e.g. we want to know not only whether there is a disease or not from a medical image but also why?",https://www.utas.edu.au/research/degrees/available-projects/projects/information-and-communication-technology/interpretable-artificial-intelligence,https://www.utas.edu.au/profiles/staff/ict/son-tran
18 July 2022,Influence analysis for truth discovery,Dr Quan Bai,"The development of the Internet and IoT technologies enabled rich amount of data sources. Nowadays, it is very easy to obtain data, but meanwhile, data from different sources describing the same entity or object is usually conflicting and erroneous. How to obtain data with high trustworthiness (i.e., truth discovery), has become a critical problem for many application domains, including ensembled machine learning, crowd sourcing and environment monitoring. This project will investigate the impact of influential relationships among data sources how to use the analysis results in improving the accuracy and efficiency of truth discovery. Novel truth discovery models will be designed and implemented in the project by considering the requirements from different application domains. The proposed methods will be validated in real-world use cases. Both theoretical and practical research outputs are expected to be delivered from this project.",https://www.utas.edu.au/research/degrees/available-projects/projects/information-and-communication-technology/influence-analysis-for-truth-discovery,https://www.utas.edu.au/profiles/staff/ict/quan-bai
18 July 2022,Immersive Visualisation with Point Cloud Data,Dr Winyu Chinthammit,This research will consider how point cloud data and immersive visualisation technologies might contribute to the sustainable development and management of built and natural environments in urban areas. It will use sites within the Northern and Southern Transformation Projects of the University of Tasmania as the context of investigation.,https://www.utas.edu.au/research/degrees/available-projects/projects/information-and-communication-technology/immersive-visualisation-with-point-cloud-data,https://www.utas.edu.au/profiles/staff/hitlab/winyu-chinthammit
18 July 2022,Early Detection of Cognitive Decline,Dr Mira Park,"Neurodegenerative conditions like dementia affect millions and have no known cure, making early detection important. In Australia, more than 459,000 people are living with dementia, at a cost of $15 billion per year. With ageing populations, the prevalence is rapidly rising and is expected to be over 1 million by 2058 (Health Direct Australia, 2019). The primary aim of this project is to investigate AI based early detection algorithms using the speech and text data collected from people with neurodegenerative conditions.",https://www.utas.edu.au/research/degrees/available-projects/projects/information-and-communication-technology/early-detection-of-cognitive-decline,https://www.utas.edu.au/profiles/staff/ict/mira-park
18 July 2022,Design of dynamics of interactive conversations in Virtual Reality for Soldier training,Prof Byeong Kang,"Soldiers can be located in extreme environment and hazardous situations, and using VR associated with the conversation proves an extremely efficient way to train soldiers among various situations and environment, such as flight simulations, battlefield simulations, job training and etc.",https://www.utas.edu.au/research/degrees/available-projects/projects/information-and-communication-technology/design-of-dynamics-of-interactive-conversations-in-virtual-reality-for-soldier-training,https://www.utas.edu.au/profiles/staff/ict/byeong-kang
18 July 2022,Cooperative Multiple Drone System for Unknown Environment Exploration,Dr Ananda Maiti,"Unmanned Aerial Drones have received attention and have been widely applied in many application domains, including traffic monitoring, and the logistics and environment monitoring. Single drone systems are suffering from short battery life and small working radius, which greatly limit their applications in applications like search and rescue (SAR) or hidden area exploration. Cooperative MDSs is a cutting-edge area in robotics and multi-agent systems (MAS) and can cover many critical limitations in single drone systems. However, the coordination and control of MDSs are still challenging research issues blocking them from many real-world applications.",https://www.utas.edu.au/research/degrees/available-projects/projects/information-and-communication-technology/cooperative-multiple-drone-system-for-unknown-environment-exploration,https://www.utas.edu.au/profiles/staff/ict/ananda-maiti
18 July 2022,Challenge-based learning in ICT education,Dr Erin Roehrer,"Higher education must equip students with the transversal skills required to contribute to the global economy, environment, and societies of the future. Graduates need to be prepared with strong disciplinary knowledge combined with problem solving, critical and computational thinking and social integration skills to be able to achieve societal impact on some of the more wicked problems, such as sustainability and climate impact.",https://www.utas.edu.au/research/degrees/available-projects/projects/information-and-communication-technology/challenge-based-learning-in-ict-education,https://www.utas.edu.au/profiles/staff/live-profiles/arko-lucieer
18 July 2022,Writing Lives,Dr Naomi Milthorpe,"What is at stake when we “write a life”: critically, creatively, historically, or ethically? What forms should it take? Whose lives should we examine? How do we connect life stories to national and international histories and communities? How can we celebrate diversity through life-writing, amplifying the voices of people who have been pushed into the margins of history and literature, or understand how famous figures have been represented and misrepresented? How are archives formed and by whom, and how do those decisions mask or reveal life stories? Where lives have not been thoroughly documented, how can we make imaginative use of archival material? How can we make space for the more-than-human in this genre?",https://www.utas.edu.au/research/degrees/available-projects/projects/humanities/writing-lives,https://www.utas.edu.au/profiles/staff/english/naomi-milthorpe
18 July 2022,War and Culture in Eighteenth-Century Britain,Dr Gavin Daly,"This project supports research into the history of war and culture, broadly defined, in eighteenth and early-nineteenth century Georgian Britain. Applications are especially welcome that explore the ways in which war was experienced, remembered, imagined or represented through any of the following frameworks: gender, national identity, religion, memory, life-writing, violence and atrocity, and the history of emotions.",https://www.utas.edu.au/research/degrees/available-projects/projects/humanities/war-and-culture-in-eighteenth-century-britain,https://www.utas.edu.au/profiles/staff/humanities/Gavin-Daly
18 July 2022,The Novel in the 21st-Century,Prof Lisa Fletcher,"In Everything and Less: The Novel in the Age of Amazon, Mark McGurl writes that the ""rise of Amazon is the most significant novelty in recent literary history, representing an attempt to reforge contemporary literary life as an adjunct to online retail."" Many readers are now positioning themselves publicly as 'literary' by reviewing novels online, and participating passionately in bookish social media, often through avenues that are affiliated with writers, publishers or booksellers.",https://www.utas.edu.au/research/degrees/available-projects/projects/humanities/the-novel-in-the-21st-century,https://www.utas.edu.au/profiles/staff/english/lisa-fletcher
18 July 2022,The Enlightenment in Eighteenth-Century Britain,Dr Anthony Page,"This project supports research into the culture of eighteenth-century Britain, with a focus on how the values of the Enlightenment manifested in life and letters. Applications are especially welcome that wish to explore how Enlightenment ideas and values interacted with religion, politics, war or daily life. The project will be based on accessible printed primary sources available via databases such as the Eighteenth Century Collections Online or the Burney Collection of eighteenth-century newspapers.",https://www.utas.edu.au/research/degrees/available-projects/projects/humanities/the-enlightenment-in-eighteenth-century-britain,https://www.utas.edu.au/profiles/staff/humanities/anthony-page
18 July 2022,Public Engagement in Antarctic Histories,Professor Elizabeth Leane,"A recent survey of people living in Australia’s Antarctic “gateway” city, Hobart, showed significant connections between a sense of the city’s Antarctic history and a desire to protect the continent through everyday behaviour (Leane et al, “From gateway to custodian city,” Geographical Research 2021). This project investigates the most effective ways to engage people – whether citizens or tourists – in the country’s rich Antarctic histories. Supported by the Mawson’s Huts Foundation (MHF), the project comes with a bursary of $5000, and may also include the chance to undertake an internship in the MHF’s Mawson’s Huts Replica Museum on the Hobart waterfront.",https://www.utas.edu.au/research/degrees/available-projects/projects/humanities/public-engagement-in-antarctic-histories,https://www.utas.edu.au/profiles/staff/imas/elizabeth-leane
18 July 2022,Modernist Literary Cultures,Dr Robbie Moore,"Modernist Literary Cultures invites research and creative inquiry that engages with the culture of literary modernism, broadly defined, through a range of historical, regional, theoretical, and formal lenses. Applications considering modernism's material, print cultural, archival, spatial, or technological bases, and/or that consider modernism's appearance in a range of cultural texts including fiction, poetry, film, and non-fictional works, are particularly encouraged.",https://www.utas.edu.au/research/degrees/available-projects/projects/humanities/modernist-literary-cultures,https://www.utas.edu.au/profiles/staff/english/robbie-moore
18 July 2022,Metaphysics and Social Ontology,Dr Richard Corry,"In order to make sense of the world we must categorise its contents and assume various relations between these categories. This is true whether we are talking about fundamental particles and fields, social categories such as gender and sexuality, or the general distinction between properties and particulars. Once we recognise these assumptions we can question their legitimacy: what is their relation to reality? What are the ethical or epistemic implications of these assumptions? What is the purpose of these categorisations? Are there better ways of categorising the world?",https://www.utas.edu.au/research/degrees/available-projects/projects/humanities/metaphysics-and-social-ontology,https://www.utas.edu.au/profiles/staff/philosophy-and-gender-studies/richard-corry
18 July 2022,Imagined Food Safeties,A/Prof Nicole Tarulevicz,"Globally, the World Health Organization estimates 600 million cases of foodborne illnesses per year, resulting in 420 thousand deaths. Food safety matters. But food safety is more than statistics about the sick and the dead, more than the technologies of sanitation practices and food handling techniques. Food safety is complex sets of knowledge, of ways of thinking and acting, embedded in institutional practices and discourses, by governments, by industry, and by everyday people. This project is will focus on how people (especially consumers) have thought about food safety over time. By taking a cultural history approach to food safety the project will consider how food safety creates materially, symbolically and experientially a set of ways of thinking and acting, resulting in knowledge that is embedded in institutional practices and discourses.",https://www.utas.edu.au/research/degrees/available-projects/projects/humanities/imagined-food-safeties,https://www.utas.edu.au/profiles/staff/history-and-classics/Nicole-Tarulevicz
18 July 2022,Engaged Phenomenology,Dr Anya Daly,"Since Plato's 'Divided Line' metaphysics, philosophy has grappled with the many problems arising from dualism and more recently with reductive materialism. Such ontologies have given rise to many of the 'big questions' of philosophy - How is it that I can know a world external to myself when all I directly access are my own thoughts and representations? How can I be sure that what I perceive is accurate?  How is it that the mind influences the body and vice versa? Is there something it is like to have a particular experience? Can I empathically grasp the experience of another? How is it that we can understand and share aesthetic experiences? Is it possible to identify an artwork or art performance as 'great art'? What is happening with mind-body-world relations in anomalous experience – such as in the challenges to mental health? And there are many more such questions.",https://www.utas.edu.au/research/degrees/available-projects/projects/humanities/engaged-phenomenology,https://www.utas.edu.au/profiles/staff/philosophy-and-gender-studies/anya-daly
18 July 2022,Cross-cultural communication in the globalised world,Dr Taufiq Tanasaldy,"Cross-cultural communication has gained increasing prominence as communities and regions become more globally connected. Any analyses of our contemporary cultures are inadequate without taking into consideration their cross-cultural implications. This project promotes research that rigorously examines the interconnectedness of cultural phenomena across cultures, and contributes to the local and global communities that value multi-culturalism, diversity, and social inclusion. This research project is supported by academics with expertise on Asia and Europe.",https://www.utas.edu.au/research/degrees/available-projects/projects/humanities/contemporary-epistemic-and-ethical-landscapes2,https://www.utas.edu.au/profiles/staff/global-cultures-and-languages/taufiq-tanasaldy
18 July 2022,Contemporary Epistemic and Ethical Landscapes,Dr David Coady,"From issues of political legitimacy to worries about the role of social media in the fixation of belief to collective action dilemmas, we face a range of challenges in an apparently changed and charged epistemic and ethical landscape.  The philosophy program invites applications for projects centred on research problems that apply debates and positions in philosophy to contemporary events and issues. These include (but are not limited to) research questions in applied epistemology, philosophy of science, feminist philosophy, applied ethics, and environmental philosophy.",https://www.utas.edu.au/research/degrees/available-projects/projects/humanities/contemporary-epistemic-and-ethical-landscapes,https://www.utas.edu.au/profiles/staff/philosophy-and-gender-studies/David-Coady
18 July 2022,Climate Crisis in Young People’s Fiction,Dr Lucy Christopher,"The climate crisis is directly affecting the experiences and futures of young people.  Yet, young people’s voices are often neglected in discussions and creative representations and responses around environmental catastrophe. This creative practice project invites you to investigate and creatively contribute to this crucial topic. We want you to ask how fiction can work when representing climate crisis and/or other potentially terrifying issues of environmental catastrophe for young readers. We also invite you to think deeply, and practically, around whether and how writing for young people can cultivate hope and a sense of climate justice. Questions you might ask include: can fiction act as a catalyst for young people to engage with environmental issues and, if so, how? What tools do we have as creative writers to facilitate the empathetic engagement we need to save the planet? How does your writing contribute to this crucial field of emerging literature?",https://www.utas.edu.au/research/degrees/available-projects/projects/humanities/climate-crisis-in-young-peoples-fiction,https://www.utas.edu.au/profiles/staff/english/lucy-christopher
18 July 2022,Australasia as a Historical Meeting Place,Dr Kate Bagnall,"In the nineteenth and early twentieth centuries, an unprecedented movement of global travellers into Australasia brought about a seismic shift in long-established familial, social, cultural and economic landscapes. This project explores questions raised by the meeting and mixing of individuals, communities and cultures from around the world on colonised lands. Historical projects engaging with family, migration, diversity, intimacy and cross-cultural encounters are particularly encouraged.",https://www.utas.edu.au/research/degrees/available-projects/projects/humanities/australasia-as-a-historical-meeting-place,https://www.utas.edu.au/profiles/staff/humanities/kate-bagnall
18 July 2022,Arts Residences in Extreme Environments,Prof Elle Leane,"This project forms part of the ARC-funded Discovery Project, “Creative Antarctica: Australian Artists and Writers in the Far South.” The candidate will join a large multi-institutional and international team focused on understanding the experiences of professional artists and writers in the Antarctic region and on maximising the outcomes and benefits of residencies offered by national programs, tour operators and other organisations. The PhD project will complement the national focus of the team by examining and comparing the aims, structures and outcomes of Antarctic residency schemes globally, through desk research and interviews with key stakeholders, drawing lessons for other schemes based in extreme or wilderness environments, and/or scientific communities. The particular approach will be developed by the team and the candidate depending on the latter’s background and interests.",https://www.utas.edu.au/research/degrees/available-projects/projects/humanities/arts-residences-in-extreme-environments,https://www.utas.edu.au/profiles/staff/imas/elizabeth-leane
18 July 2022,Maternal health information seeking,Dr Kiran Ahuja,"Maternal health information and healthcare-seeking behaviour is crucial to women’s health and is an important public health issue. Maternal and child health morbidity and mortality depend highly on the health information and healthcare-seeking behaviour of mothers. Several factors, including educational background, occupation, age, pregnancy-related complications, and socio-cultural influences are known to affect behaviour. Analyses of 13 years of Tasmanian hospital record data (through a data linkage project) have shown indigenous women have a higher rate of obesity and a high incidence of premature births and low birth weight in newborns. Tasmanian aboriginal women also have low education and socioeconomic status, low literacy, higher smoking, and alcohol intake compared to non-indigenous pregnant women. Tasmania has seen an increase in culturally and linguistically diverse (CALD) populations in the past 10-15 years. A large proportion of this population are humanitarian migrants with low literacy and low socio-economic status paralleling that of the indigenous communities of Tasmania. Additionally, often migrants arrive to developed countries with healthy weight; however inherent and environmental factors lead to weight gain in these populations often above the levels in the native population.  Very little is known about the health information and healthcare-seeking behaviours of these groups, especially pregnant women (or those planning pregnancy) in Tasmania. Key research questions include the following:",https://www.utas.edu.au/research/degrees/available-projects/projects/health-science/maternal-health-information-seeking,https://www.utas.edu.au/profiles/staff/health/Kiran-Ahuja
18 July 2022,How do Clinical Exercise Services affect health outcomes?,A/Prof Andrew Williams,"Physical inactivity is an important contributor to the alarming incidence many chronic diseases including type 2 diabetes mellitus (T2DM), and there is substantial evidence of the effectiveness of exercise training for a wide range of chronic diseases. This evidence has led to the Australian Government including referrals to and treatment by Accredited Exercise Physiologists (AEPs) under Medicare for people with a range of chronic medical conditions. However, a limitation of the existing evidence for exercise as a treatment comes from laboratory studies that are highly controlled and often do not reflect clinical practice outcomes. Additionally, this research may not readily translate to beneficial outcomes beyond the conclusion of the prescribed intervention period/research study. To date there have been few assessments of the benefits of exercise services delivered as part of usual clinical practice on physical activity participation and health outcomes in people with chronic disease.",https://www.utas.edu.au/research/degrees/available-projects/projects/health-science/how-do-clinical-exercise-services-affect-health-outcomes,https://www.utas.edu.au/profiles/staff/health/Andrew-Williams
8 April 2022,Understanding compound climate extremes,Dr Kathryn Allen,"Climate and weather extremes may occur over weeks, seasons, or even years.  The IPCC has characterised compound extremes in particular as an area of ‘deep uncertainty’, with little understood about their probability of occurrence or cascading impacts. Instrumental evidence and climate projections indicate increased frequency and magnitude of both single event and compound extremes over recent decades and into the future, respectively. The impacts of some types of extremes – both single and compound - can be captured in palaeoclimate records. Because the impacts of more frequent or severe climate extremes are perceived as major threats to social and environmental well-being across the globe, there is an urgent need to better characterise these extremes. This will help to better inform infrastructure design and land management planning.","https://www.utas.edu.au/research/degrees/available-projects/projects/geography,-planning-and-spatial-sciences/understanding-compound-climate-extremes",
18 July 2022,"Transport disadvantage, isolation and gentrification",Prof Jason Byrne,"Rapid urbanisation is driving social and spatial changes to cities globally. Its social effects include growing income divides, disparities in urban service accessibility (e.g., public transport), rising levels of income insecurity, housing unaffordability, segregation, and social isolation and loneliness. Planners have typically sought to address such issues through ‘spatial fixes’ (e.g., urban densification and infill). Purportedly, by efficiently using existing infrastructure (e.g., water, sewerage &amp; electricity) economic and environmental costs can be reduced. Higher density housing is thought to accommodate more people in closer proximity to schools, parks, employment centres, healthcare and other urban services. Evidence suggests such planning policies can have unintended consequences. These include rising property prices and rent, and gentrification. People able to afford higher prices benefit from better services and amenity, whereas those who cannot are displaced to the suburban periphery, with reduced access to urban services, and higher levels of car-dependence.","https://www.utas.edu.au/research/degrees/available-projects/projects/geography,-planning-and-spatial-sciences/transport-disadvantage,-isolation-and-gentrification",https://www.utas.edu.au/profiles/staff/cose-ted/jason-byrne
18 July 2022,Student housing: Infrastructures of care,Professor Elaine Stratford,"This project is part of a suite of research about how the University of Tasmania's campus transformation program is being shaped by, and in turn is shaping, urban settings and ideas about people's rights to the city, to basic needs such as housing, and to ideas about how the provision of dwelling space is also about the provision of what geographers are calling infrastructures of care. To be contextualised in the literature on university transformation processes internationally, the project may focus on three questions - although others are possible:","https://www.utas.edu.au/research/degrees/available-projects/projects/geography,-planning-and-spatial-sciences/student-housing-infrastructures-of-care",https://www.utas.edu.au/profiles/staff/set/elaine-stratford
18 July 2022,Renewable energy risk changing climate,Dr Kathryn Allen,"Renewable energy is a critical component of an emerging and thriving green economy, and Australia is well-placed to take advantage or renewable energy produced by a number of different sources. However, the risk posed by climate change itself to renewable energy sources, such as water or wind, is likely to have important impacts on the successful transition to reliance on renewable energy sources. Understanding long-term baseline conditions is a critical part of modelling risk for renewable energy sources.  This needs to be coupled with knowledge provided through regional climate models to obtain an expanded view of climate risk to the renewable energy sector going forward. A further question concerns how the financial risk to providers of renewable energy may be ameliorated in a way such that ongoing and responsible investment in renewable energy infrastructure is encouraged.This project will require high-level and transferable quantitative skills as well as excellent written and verbal English skills. It will involve quantitative econometric modelling, interpretation of palaeoclimate records and climate projections, as well as developing an understanding of the role of insurance. Previous experience with coding and multidisciplinary research is highly desirable.","https://www.utas.edu.au/research/degrees/available-projects/projects/geography,-planning-and-spatial-sciences/renewable-energy-risk-changing-climate",https://www.utas.edu.au/profiles/staff/cose-ted/kathryn-allen
18 July 2022,"Insurance, inequity, and place",Dr Kate Booth,"Large and small metropolitan areas are experiencing the impacts of climate change. In places like Florida (United States), for example, the wealthy are moving to higher ground, displacing the poor into suburbs at high risk of flooding and inundation. As part of the University of Tasmania’s insurance research program, you will work with Dr Kate Booth – a leading expert in insurance geographies and critical insurance studies – to develop a project focusing on the co-constitution of real estate, equity, and insurance. In the context of climate change, this may include considerations of insurance affordability and availability, urban planning and policy, and geographies of affect and power.","https://www.utas.edu.au/research/degrees/available-projects/projects/geography,-planning-and-spatial-sciences/insurance,-inequity,-and-place",https://www.utas.edu.au/profiles/staff/geography-spatial/kate-booth
18 July 2022,"Insurance, adaptation, and maladaptation",Dr Kate Booth,"Insurance is an important part of everyday life, with complex and dynamic networks of insurance providing emotional and financial security in the face of adverse circumstances. This includes insurance directly associated with the home (e.g. house and contents, health, pets, funerals), and public liability insurance, professional indemnity insurance, and property insurance for assets held by government bodies and infrastructure providers. As part of the University of Tasmania’s insurance research program, you will work with Dr Kate Booth – a leading expert in insurance geographies and critical insurance studies – to develop a project focusing on the adaptative and maladaptive qualities of insurance networks.","https://www.utas.edu.au/research/degrees/available-projects/projects/geography,-planning-and-spatial-sciences/insurance,-adaptation,-and-maladaptation",https://www.utas.edu.au/profiles/staff/geography-spatial/kate-booth
18 July 2022,"Home, housing and insurance",Dr Kate Booth,"As cities transform and housing practices change, uptake of house and contents insurance as a key safety net is changing. Private insurance of this type is not meeting the needs of more and more households, with changes in housing tenure, housing stress and climate risks informing problematic patterns of under-insurance. New cohorts are emerging as vulnerable and at risk. As part of the University of Tasmania’s insurance research program, you will work with Dr Kate Booth – a leading expert in insurance geographies and critical insurance studies – to develop a project focusing on the co-constitution of home, housing, and insurance. In the context of climate change, this may include considerations of insurance affordability and availability, household materialities and emotionalities, and geographies of affect and power.","https://www.utas.edu.au/research/degrees/available-projects/projects/geography,-planning-and-spatial-sciences/home,-housing-and-insurance",https://www.utas.edu.au/profiles/staff/geography-spatial/kate-booth
18 July 2022,GPS measurement of deformation of East Antarctica,Prof Matt King,"Antarctica continues to deform as a result of past and present surface loading changes, especially ice loading changes, and Earthquake-related effects. Over the last 10 years, Global Positioning System (GPS) receivers have been increasingly deployed in Antarctica to measure surface deformation. These data are now yielding sufficiently precise surface velocity time series to be able to separate competing models and in doing so learn new things about the interior of the Earth and the past ice loading history.","https://www.utas.edu.au/research/degrees/available-projects/projects/geography,-planning-and-spatial-sciences/gps-measurement-of-deformation-of-east-antarctica",https://www.utas.edu.au/profiles/staff/geography-spatial/matt-king
18 July 2022,GIA in the Denman Glacier region,Prof Matt King,"The Earth continues to deform following past changes in glacial loading and unloading, notably since the Last Glacial Maximum. The Denman Glacier region shows surprisingly low rates of present-day uplift and this is yet to be explained by models of glacial isostatic adjustment (GIA), the ongoing response of the solid Earth to ice-ocean loading changes. This gap in knowledge affects estimates of present-day ice mass change (and hence sea-level change) as GIA is an essential correction to satellite datasets of ice-sheet change.","https://www.utas.edu.au/research/degrees/available-projects/projects/geography,-planning-and-spatial-sciences/gia-in-the-denman-glacier-region",https://www.utas.edu.au/profiles/staff/geography-spatial/matt-king
18 July 2022,"Geoconservation significance of alpine dunes, central Tasmania",A/Prof Joanna Ellison,"Sand dunes are common coastal landforms, however inland dunes occur in Tasmania, where within the alpine World Heritage area contribute to the distinctive landscape. Understanding is restricted to description with some chronology associated with past climates. This inductive research investigates alpine dune geomorphology, sedimentology and morphology to assess their geoconservation significance – understanding the ways in which alpine dune formation conforms to or varies from coastal dune formation. The research will allow development of skills in landform surveying, spatial change analysis, and techniques in sediment analysis. Research will focus on the World Heritage area, investigating spatial and topographic trends, and recent changes analysed to identify mobility and threats. Sedimentology will be analysed to investigate sources and weathering trends. Values will be analysed to contribute to geoconservation priorities. Results will contribute to global understanding of inland aeolian alpine dunes and geoconservation significance.","https://www.utas.edu.au/research/degrees/available-projects/projects/geography,-planning-and-spatial-sciences/geoconservation-significance-of-alpine-dunes,-central-tasmania",https://www.utas.edu.au/profiles/staff/cose-ted/Joanna-Ellison
